"Либерман, Иосиф Меерович",1917,1941
"Лигун, Анатолий Александрович",1947,2008
"Лидский, Виктор Борисович",1924,2008
"Лойцянский, Лев Герасимович",1900,1991
"Ляшко, Иван Иванович",1922,2008
"Лёвшин, Владимир Артурович",1904,1984
"Максудов, Фарамаз Газанфар оглы",1930,2000
"Малкин, Иоэль Гильевич",1907,1958
"Марджанишвили, Константин Константинович",1903,1981
"Марков, Александр Александрович",1937,1994
"Матросов, Виктор Леонидович",1950,2015
"Мейланов, Вазиф Сиражутдинович",1940,2015
"Мержанов, Александр Григорьевич",1931,2013
"Миллионщиков, Владимир Михайлович",1939,2009
"Минятов, Александр Константинович",1908,1937
"Мирзаджанзаде, Азад Халил оглы",1928,2006
"Шрейдер, Юлий Анатольевич",1927,1998
Юрий Дмитриевич Соколов,1896,1971
"Кулишер, Александр Рувимович",1875,
"Трахтенброт, Борис Авраамович",1921,2016
"Пановко, Яков Гилелевич",1913,2002
"Кубилюс, Йонас",1921,2011
Михаил Штейнберг,1952,1976
"Зигель, Феликс Юрьевич",1920,1988
"Ентов, Владимир Маркович",1937,2008
"Плющ, Леонид Иванович",1939,2015
Виссарион Григорьевич Алексеев,1866,1943
"Налимов, Василий Васильевич",1910,1997
"Бицадзе, Андрей Васильевич",1916,1994
"Тюрин, Андрей Николаевич",1940,2002
"Боревич, Зенон Иванович",1922,1995
"Червоненкис, Алексей Яковлевич",1938,2014
Юрий Васильевич Прохоров,1929,2013
"Красносельский, Марк Александрович",1920,1997
"Пинскер, Марк",1925,2003
Q3313627,1958,1999
"Моисеев, Никита Николаевич",1917,2000
"Фет, Абрам Ильич",1924,2007
"Лупанов, Олег Борисович",1932,2006
"Краснер, Наум Яковлевич",1924,1999
"Яблонский, Сергей Всеволодович",1924,1998
"Руссман, Исаак Борисович",1938,2005
"Стечкин, Сергей Борисович",1920,1995
"Красовский, Николай Николаевич",1924,2012
Александр Дмитриевич Соловьёв,1927,2001
"Стратонович, Руслан Леонтьевич",1930,1997
"Субботин, Андрей Измайлович",1945,1997
"Сушков, Борис Григорьевич",1941,1997
"Татаринов, Ярослав Всеволодович",1950,2010
"Топоногов, Виктор Андреевич",1930,2004
"Треногин, Владилен Александрович",1931,2013
"Ульянов, Пётр Лаврентьевич",1928,2006
"Федорчук, Виталий Витальевич",1942,2012
"Фон-дер-Флаасс, Дмитрий Германович",1962,2010
"Халфин, Леонид Александрович",1932,1998
"Харламов, Сергей Анатольевич",1937,2009
Сергей Христианович,1908,2000
"Чебраков, Юрий Владимирович",1953,2015
"Ченцов, Николай Николаевич",1930,1992
"Чехлов, Валерий Иванович",1941,2006
"Шарыгин, Игорь Фёдорович",1937,2004
Q6097563,1957,2014
Q3215942,1841,1904
"Паукер, Магнус Георг фон",1787,1855
Николай Гаврилович Курганов,1725,1790
Николай Гаврилович Курганов,1725,1796
Николай Гаврилович Курганов,1726,1790
Николай Гаврилович Курганов,1726,1796
"Лигин, Валериан Николаевич",1846,1900
"Лукьянов, Яков Афанасьевич",1806,1860
"Майер, Фридрих Христофор",1697,1729
"Макаров, Николай Иванович",1824,1904
"Максимович, Александр Петрович",1772,1852
"Малинин, Александр Фёдорович",1835,1888
"Машковский, Кароль",1831,1886
"Миронов, Павел Миронович",1861,1921
"Млодзиевский, Болеслав Корнелиевич",1858,1923
"Мордухай-Болтовской, Дмитрий Дмитриевич",1876,1952
"Некрасов, Александр Иванович",1883,1957
Павел Алексеевич Некрасов,1853,1924
"Слудский, Фёдор Алексеевич",1841,1897
"Солодовников, Владимир Викторович",1910,1991
"Сомов, Осип Иванович",1815,1876
"Софронов, Михаил (математик)",1729,1760
"Сретенский, Леонид Николаевич",1902,1973
"Станевич, Виктор",1886,1945
Михаил Фёдорович Субботин,1893,1966
Генри Фарварсон,1674,1739
Генри Фарварсон,1675,1739
"Фусс, Павел Николаевич",1798,1855
"Фёдоров, Владимир Семёнович",1893,1983
"Христиани, Николай Васильевич",1834,1891
"Цветков, Яков Яковлевич",1839,1907
Борис Владимирович Шабат,1917,1987
"Шагинян, Арташес Липаритович",1906,1978
"Михайленко, Борис Григорьевич",1944,2014
"Михалевич, Владимир Сергеевич",1930,1994
"Мищенко, Евгений Фролович",1922,2010
"Молчанов, Альберт Макарьевич",1928,2011
"Монахов, Валентин Николаевич",1932,2006
"Мышкис, Анатолий Дмитриевич",1920,2009
"Натансон, Исидор Павлович",1906,1964
"Неймарк, Юрий Исаакович",1920,2011
"Нехорошев, Николай Николаевич",1946,2008
"Нечаев, Василий Ильич",1920,1999
"Астряб, Александр Матвеевич",1879,1962
"Березанский, Юрий Макарович",1925,2019
"Завало, Сергей Трофимович",1919,1989
"Зарицкий, Мирон Онуфриевич",1889,1961
"Зеленяк, Тадей Иванович",1935,2003
Николай Кильчевский,1909,1979
Виктор Иванович Лагно,1957,2011
"Анкудович, Викентий Александрович",,1876
Алексей Васильевич Летников,1837,1888
"Жулиньский, Роман",1837,1864
"Мейман, Наум Натанович",1912,2001
"Чудаков, Николай Григорьевич",1904,1986
"Андреев, Константин Алексеевич",1848,1921
"Ляпунов, Алексей Андреевич",1911,1973
"Митропольский, Юрий Алексеевич",1917,2008
Иван Мещерский,1859,1935
"Колосов, Гурий Васильевич",1867,1936
Пьер-Доминик Базен,1786,1838
"Абаканович, Бруно",1852,1900
Иван Григорьевич Бубнов,1872,1919
"Магницкий, Леонтий Филиппович",1669,1739
"Витт, Александр Адольфович",1902,1938
Алексей Васильевич Шубников,1887,1970
Q2861551,1865,1935
Николай Алексеевич Умов,1846,1915
Николай Яковлевич Сонин,1849,1915
"Ковалевский, Максим Евграфович",1903,1988
Эдгар Кран,1894,1961
"Салтыков, Николай Николаевич",1872,1961
"Алексеев, Николай Николаевич (математик)",1827,1881
"Анисимов, Василий Афанасьевич",1860,1907
"Аничков, Дмитрий Сергеевич",1733,1788
"Аппельрот, Герман Германович",1866,1943
"Аршеневский, Василий Кондратьевич",1758,1808
"Билимович, Антон Дмитриевич",1879,1970
Виктор Викторович Бобынин,1849,1919
"Буссе, Фёдор Иванович",1794,1859
"Бушен, Артур Богданович фон",1831,1876
"Веселовский, Иван Николаевич",1892,1977
"Вильбрехт, Александр Михайлович",1757,1823
"Висковатов, Василий Иванович",1780,1812
"Власов, Алексей Константинович",1868,1922
"Волков, Александр Александрович (математик)",1876,1919
Лев Израилевич Волковысский,1913,1992
"Гагарин, Андрей Григорьевич",1856,1920
"Гантмахер, Феликс Рувимович",1908,1964
"Гернет, Надежда Николаевна",1877,1943
"Геронимус, Яков Лазаревич",1898,1984
"Глаголев, Александр Николаевич",1853,1906
"Глаголев, Нил Александрович",1888,1945
"Гокиели, Леван Петрович",1901,1975
