John Irwin Hutchinson,1867,1935
John R. Isbell,1930,2005
John Riordan,1903,1988
John Wrench,1911,2009
Jon Folkman,1938,1969
Jonathan Mock Beck,1935,2006
Joseph Adna Hill,1860,1938
Joseph Caldwell,1773,1835
Joseph Konhauser,1924,1992
Joseph L. Fleiss,1937,2003
Joseph L. Ullman,1923,1995
Joseph Lovering,1813,1892
Joseph Madachy,1927,2014
Joseph Shalika,1941,2010
Joyce McLaughlin,1939,2017
Judith Q. Longyear,1938,1995
Justin Jesse Price,1930,2011
Karel deLeeuw,1930,1978
Kenneth P. Williams,1887,1958
Paul A. Smith,1900,1980
Klaus Fischer,1943,2009
Eugene Dynkin,1924,2014
Howard P. Robertson,1903,1961
Nathaniel Bowditch,1773,1838
Lynn Steen,1941,2015
Herbert Scarf,1930,2015
Errett Bishop,1928,1983
George Mackey,1916,2006
Gene H. Golub,1932,2007
Joseph Leo Doob,1910,2004
James Cooley,1926,2016
Norman Steenrod,1910,1971
John William Theodore Youngs,1910,1970
James Dean,1776,1849
Hans Frederick Blichfeldt,1873,1945
George Boolos,1940,1996
Paul T. Bateman,1919,2012
Solomon W. Golomb,1932,2016
R. H. Bing,1914,1986
William Kruskal,1919,2005
Kenneth O. May,1915,1977
Robert Lee Moore,1882,1974
Felix Browder,1927,2016
Michel Loève,1907,1979
Walter Noll,1925,2017
Derrick Norman Lehmer,1867,1938
Ralph Fox,1913,1973
Richard Askey,1933,2019
Murray H. Protter,1918,2008
Yousef Alavi,1928,2013
Leo Zippin,1905,1995
John David Jackson,1925,2016
Amir Aczel,1950,2015
Frank Harary,1921,2005
Frank Nelson Cole,1861,1926
Frank Rowlett,1908,1998
Julian Cole,1925,1999
"Frederick J. Almgren, Jr.",1933,1997
William Chauvenet,1820,1870
Albert Nijenhuis,1926,2015
Oliver Selfridge,1926,2008
John J. Turin,1913,1973
Dennis Johnson,1938,2018
Joseph Slepian,1891,1969
Uta Merzbach,1933,2017
Alfred H. Clifford,1908,1992
Alice T. Schafer,1915,2009
Anders Hald,1913,2007
Charlotte Barnum,1860,1934
Donald Dines Wall,1921,2000
Edgar Odell Lovett,1871,1957
Edward Jones,1856,1920
Francis Dominic Murnaghan,1893,1976
George B. Purdy,1944,2017
Gottfried E. Noether,1915,1991
Irving Reiner,1924,1986
John Winthrop,1714,1779
Ellen Hayes,1851,1930
"Elliott Ward Cheney, Jr.",1929,2016
Enoch Beery Seitz,1846,1883
Ervand Kogbetliantz,1888,1974
Eugene McDonnell,1926,2010
Euphemia Haynes,1890,1980
F. Burton Jones,1910,1999
Florence Marie Mears,1896,1995
Francis B. Hildebrand,1915,2002
Frank Spitzer,1926,1992
Frank W. J. Olver,1924,2013
Frederick Augustus Porter Barnard,1809,1889
Frederick Bagemihl,1920,2002
Fritz Herzog,1902,2001
Fritz Joachim Weyl,1915,1977
George A. Milliken,1943,1999
George B. Thomas,1914,2006
George Baron,1701,1818
George Robert Blakley Jr.,1932,2018
George Kempf,1944,2002
George Piranian,1914,2009
George W. Myers,1864,1931
Gerald Gardner,1926,2009
Gerald L. Thompson,1923,2009
Gertrude Blanch,1897,1996
Gilbert Baumslag,1933,2014
Glen Baxter,1930,1983
Gordon F. Newell,1925,2001
Grace Andrews,1869,1951
Griffith Baley Price,1905,2006
Hanno Rund,1925,1993
Hans Weinberger,1928,2017
Harold Adrian Linstone,1924,2016
Harold Levine,1922,2017
Harry C. Carver,1890,1977
Harry Pollard,1919,1985
"Hartley Rogers, Jr.",1926,2015
Helen Abbot Merrill,1864,1949
Helen Almira Shafer,1839,1894
Henry Helson,1927,2010
Henry Louis Rietz,1875,1943
Henry Pogorzelski,1923,2015
Henry Roy Brahana,1895,1972
Herman L. Smith,1892,1950
Herman March,1878,1953
Cristóbal de Losada y Puga,1894,1961
"Homer E. Newell, Jr.",1915,1983
Howard Barlow,1918,2003
Howard Hawks Mitchell,1885,1943
Louise Hay,1935,1989
Magnus Wenninger,1919,2017
Tobias Dantzig,1884,1956
Marjorie Lee Browne,1914,1979
Mary Celine Fasenmyer,1906,1996
Hubert Anson Newton,1830,1896
Milton Sirotta,1911,1981
Paul Meier,1924,2011
Thomas William Edmondson,1869,1938
Roger Lyndon,1917,1988
John Daniel Runkle,1822,1902
Angus Ellis Taylor,1911,1999
Chuan-Chih Hsiung,1915,2009
Chuan-Chih Hsiung,1916,2009
Walter Herman Penney,1953,2002
Athanasios Papoulis,1921,2002
Bill Schelter,1947,2001
Z. W. Birnbaum,1903,2000
Allan Birnbaum,1923,1976
Parker Cleaveland,1780,1858
Wallie Abraham Hurwitz,1886,1958
Earle Raymond Hedrick,1876,1943
Leonard Blumenthal,1901,1984
Elbert Frank Cox,1895,1969
W. Wesley Peterson,1924,2009
Bernard Galler,1928,2006
William Edward Story,1850,1930
George Fix,1939,2002
Woody Bledsoe,1921,1995
Robert Simpson Woodward,1849,1924
Louis Charles Karpinski,1878,1956
John Howard Van Amringe,1835,1915
John Howard Van Amringe,1836,1915
Alexis Caswell,1799,1877
Howard Eves,1911,2004
Dorothy Maharam,1917,2014
Hing Tong,1922,2007
Irving Adler,1913,2012
William Anthony Granville,1864,1943
Marjorie Rice,1923,2017
Chung Tao Yang,1923,2005
Albert Hibbs,1924,2003
Etta Zuber Falconer,1933,2002
"J. Arthur Seebach, Jr.",1938,1996
James R. Newman,1907,1966
Isaac Hourwich,1860,1924
Raymond Clare Archibald,1875,1955
John Wesley Young,1879,1932
W. R. (Red) Alford,1937,2003
Matest M. Agrest,1915,2005
Ruth Aaronson Bari,1917,2005
Sergey Degayev,1857,1921
Murray R. Spiegel,1923,1991
Murray Rosenblatt,1926,2019
Murray S. Klamkin,1921,2004
Nancy Salisbury,1930,2004
Nathan Altshiller Court,1881,1968
Nathan Daboll,1750,1818
Nathan Fine,1916,1994
Nigel Kalton,1946,2010
Norman E. Gibbs,1941,2002
Norman H. Anning,1883,1963
Norman J. Pullman,1931,1999
Norman Levitt,1943,2009
Norman Lloyd Johnson,1917,2004
O. Timothy O'Meara,1928,2018
Olive Hazlett,1890,1974
Orrin Frink,1901,1988
Oscar Goldman,1925,1986
Pasquale Joseph Federico,1902,1982
Paul Allen Catlin,1948,1995
