Q58720,Михаил Васильевич Ломоносов
Q836646,Владислав Иосифович Борткевич
Q1676013,"Чередник, Иван"
Q1930300,Михаил Михайлович Капранов
Q30346362,Владимир Иванович Данилов
Q55264828,Alexander L. Rosenberg
Q55813744,Boris Tsygan
Q61650424,"Шабат, Георгий Борисович"
Q102121797,Дмитрий Александрович Лейтес
Q102131645,Alexei Panchishkin
Q102173938,Arkady Vaintrob
Q102235498,Alexander A. Voronov
Q102237158,Arkadii Aleksandrovich Belskii
Q102237159,Evgenij Evgen'evich Demidov
Q102237160,M. Frumkin
Q102237166,Vladislav Alekseevich Kolmykov
Q102237167,Pavel Fedorvich Kurchanov
Q102237170,B. Martynov
Q102237168,D. Lebedev
Q102237169,A. Levin
Q102237174,Aleksandr Mikhailovich Shermenev
Q102237175,Yu. Vainberg
Q102237172,G. Mustafin
Q102237173,A. Roitman
Q102237177,Andrey Borisovich Verevkin
Q102258355,Ivan B. Penkov
Q102263096,Mikhail M. Vishik
Q102267202,Oksana Sergeevna Yakimova
Q102356618,Олег Огивецкий
Q1965150,Алексей Васильевич Летников
Q68525,"Кон-Фоссен, Стефан Эммануилович"
Q1385596,"Игнатовский, Владимир Сергеевич"
Q330511,"Плеснер, Абрам Иезекиилович"
Q4360273,"Петерсон, Карл Михайлович"
Q3741085,"Паукер, Магнус Георг фон"
Q19297309,"Надирашвили, Николай Семёнович"
Q71855,"Бильфингер, Георг Бернгард"
Q934314,"Александров, Александр Данилович"
Q4087046,"Бирман, Михаил Шлемович"
Q4495152,"Халфин, Леонид Александрович"
Q24351053,"Бабич, Василий Михайлович"
Q974437,"Эпштейн, Пауль Софус"
Q4372361,"Попов, Александр Фёдорович (математик)"
Q4538090,"Янишевский, Эраст Петрович"
Q7035781,Николай Дуров
Q157642,Владимир Игоревич Арнольд
Q315414,Израиль Моисеевич Гельфанд
Q958015,Владимир Андреевич Успенский
Q1356831,Евгений Дынкин
Q2450566,Юрий Васильевич Прохоров
Q34458,Сергей Михайлович Никольский
Q451757,"Гивенталь, Александр Борисович"
Q508156,"Васильев, Виктор Анатольевич"
Q205981,Александр Александрович Фридман
Q487453,"Рапопорт, Анатолий Борисович"
Q4239782,"Красовский, Андрей Николаевич"
Q4243244,"Кряжимский, Аркадий Викторович"
Q7975652,"Жмурко, Лаврентий"
Q893737,"Делоне, Борис Николаевич"
Q331089,Абрам Самойлович Безикович
Q451330,Иван Матвеевич Виноградов
Q176659,Андрей Андреевич Марков
Q181710,"Золотарёв, Егор Иванович"
Q310788,Александр Михайлович Ляпунов
Q619900,"Коркин, Александр Николаевич"
Q1500300,"Кочин, Николай Евграфович"
Q2604093,"Сохоцкий, Юлиан Васильевич"
Q4222035,Андрей Петрович Киселёв
Q17615512,"Кибель, Илья Афанасьевич"
Q434266,Пётр Демьянович Успенский
Q7604,Леонард Эйлер
Q983316,Сергей Алексеевич Чаплыгин
Q1973460,Леонид Иванович Седов
Q4157233,Николай Борисович Делоне
Q4316559,"Некрасов, Александр Иванович"
Q7939149,"Лейбензон, Леонид Самуилович"
Q207534,Альфред Тарский
Q369588,Максим Концевич
Q502771,"Зелевинский, Андрей"
Q718045,Илья Иосифович Пятецкий-Шапиро
Q915301,"Березин, Феликс Александрович"
Q925405,Александр Александрович Кириллов
Q1174945,"Каждан, Давид"
Q4301104,"Молчанов, Альберт Макарьевич"
Q4200050,Юлий Ильяшенко
Q102403297,Олег Васильевич Вербицкий
Q457430,"Шор, Наум Зуселевич"
Q554661,"Лебедев, Вячеслав Иванович"
Q16398298,"Александрян, Рафаэль Арамович"
Q1384963,"Курош, Александр Геннадиевич"
Q11163334,"Диткин, Виталий Арсеньевич"
Q2570007,"Бухштабер, Виктор Матвеевич"
Q18559579,"Мищенко, Александр Сергеевич"
Q1048502,"Журавский, Дмитрий Иванович"
Q1667121,"Брашман, Николай Дмитриевич"
Q4157027,"Деларю, Даниил Михайлович"
Q983365,"Меньшов, Дмитрий Евгеньевич"
Q983399,"Привалов, Иван Иванович"
Q2008444,"Ляпунов, Алексей Андреевич"
Q2390389,"Кронрод, Александр Семёнович"
Q4521057,Андрей Игоревич Шафаревич
Q153224,Андрей Николаевич Колмогоров
Q325696,Павел Сергеевич Александров
Q707137,Михаил Алексеевич Лаврентьев
