 Воробьёв, Николай Николаевич: 1.858
 Кириллов, Александр Александрович: 1.855
 Гантмахер, Феликс Рувимович: 1.854
 Абрамов, Александр Александрович: 1.847
 Кубилюс, Йонас: 1.845
 Абрамов, Сергей Михайлович: 1.843
 Цфасман, Михаил Анатольевич: 1.828
 Замятин, Алексей Петрович: 1.828
 Ретах, Владимир Соломонович: 1.828
 Хорол, Давид Моисеевич: 1.828
 Юдин, Давид Борисович: 1.827
 Кудрявцев, Лев Дмитриевич: 1.826
 Данилов, Владимир Иванович: 1.826
 Крылов, Николай Митрофанович: 1.818
 Фон-дер-Флаасс, Дмитрий Германович: 1.809
 Моисеев, Тихон Евгеньевич: 1.809
 Немировский, Аркадий Семёнович: 1.798
 Мойшезон, Борис Гершевич: 1.798
 Орлов, Александр Иванович: 1.798
 Малыгина, Вера Владимировна: 1.79
 Марков, Александр Александрович: 1.789
 Барбашин, Евгений Алексеевич: 1.788
 Волковысский, Лев Израилевич: 1.787
 Ефимов, Николай Владимирович: 1.786
 Степин, Анатолий Михайлович: 1.784
 Зак, Николай Фёдорович: 1.78
 Гихман, Иосиф Ильич: 1.778
 Райгородский, Андрей Михайлович: 1.778
 Шнирельман, Лев Генрихович: 1.771
 Бугров, Яков Степанович: 1.769
 Миркес, Евгений Моисеевич: 1.769
 Суслонов, Владимир Михайлович: 1.769
 Левин, Юрий Иосифович: 1.767
 Купрадзе, Виктор Дмитриевич: 1.765
 Лебедев, Николай Фролович: 1.758
 Каргаполов, Михаил Иванович: 1.758
 Похожаев, Станислав: 1.748
 Миндинг, Фердинанд: 1.744
 Рябов, Геннадий Георгиевич: 1.739
 Афанасьева, Татьяна Алексеевна: 1.738
 Корнейчук, Николай Павлович: 1.738
 Сеченов, Иван Михайлович: 1.734
 Бураго, Юрий Дмитриевич: 1.732
 Малков, Сергей Юрьевич: 1.729
 Берштейн, Леонид Самойлович: 1.729
 Демидович, Борис Павлович: 1.715
 Левитан, Борис Моисеевич: 1.713
 Яковлев, Вадим Иванович: 1.699
 Фабрикант, Валерий Иосифович: 1.698
 Щаранский, Натан: 1.696
 Лумельский, Ян Петрович: 1.69
 Давидов, Август Юльевич: 1.686
 Бейлинсон, Александр Александрович: 1.682
 Демидов, Сергей: 1.677
 Ганнушкина, Светлана Алексеевна: 1.672
 Фомин, Сергей Владимирович: 1.667
 Тюрин, Андрей Николаевич: 1.658
 Кузнецов, Владимир: 1.658
 Кутателадзе, Семён: 1.658
 Цирельсон, Борис Семенович: 1.656
 Зорич, Владимир Антонович: 1.656
 Малинецкий, Георгий Геннадьевич: 1.656
 Андронов, Александр Александрович: 1.651
 Пасконов, Вилен Михайлович: 1.649
 Дзядык, Владислав Кириллович: 1.648
 Чумаков, Фёдор Иванович: 1.648
 Слободянский, Михаил Григорьевич: 1.648
 Степанов, Вячеслав: 1.646
 Григорчук, Ростислав Иванович: 1.646
 Лейбензон, Леонид Самуилович: 1.645
 Марков, Андрей Андреевич: 1.644
 Романовский, Всеволод Иванович: 1.644
 Ивашев-Мусатов, Олег Сергеевич: 1.639
 Смолицкий, Хаим Львович: 1.639
 Богатырёв, Андрей Борисович: 1.639
 Халфин, Леонид Александрович: 1.638
 Федоренко, Радий Петрович: 1.637
 Бобылёв, Николай Антонович: 1.637
 Солтан, Валерий Петрович: 1.63
 Шафаревич, Андрей Игоревич: 1.63
 Будаев, Николай Сергеевич: 1.63
 Браверман, Эммануил Маркович: 1.63
 Григорьев, Дмитрий Юрьевич: 1.627
 Бугаев, Николай Васильевич: 1.623
 Дезин, Алексей Алексеевич: 1.618
 Субботин, Андрей Измайлович: 1.618
 Диткин, Виталий Арсеньевич: 1.618
