 Бородин, Алексей Михайлович: 28.13
 Гайфуллин, Александр Александрович: 28.11
 Артёмов, Сергей Николаевич: 28.04
 Млодзиевский, Болеслав Корнелиевич: 27.94
 Пискунов, Николай Семёнович: 27.87
 Похожаев, Станислав: 27.71
 Ансов, Игорь: 27.69
 Архипов, Геннадий Иванович: 27.64
 Гутенмахер, Лев Израилевич: 27.63
 Рейссиг, Корнелий Христианович: 27.62
 Амербаев, Вильжан Мавлютинович: 27.59
 Верещагин, Иван Фёдорович: 27.59
 Моисеев, Евгений: 27.57
 Маканин, Владимир Семёнович: 27.46
 Варченко, Александр Николаевич: 27.45
 Мазалов, Владимир Викторович: 27.45
 Панин, Иван Александрович: 27.45
 Песин, Яков Борисович: 27.45
 Полтерович, Леонид Викторович: 27.38
 Вольберг, Александр Львович: 27.29
 Петров, Александр Александрович: 27.29
 Назаров, Фёдор Львович: 27.29
 Козин, Виктор Михайлович: 27.27
 Киселёв, Андрей Петрович: 27.22
 Кужугет, Али: 27.2
 Залгаллер, Виктор Абрамович: 27.15
 Авдеев, Николай Яковлевич: 27.08
 Афанасьев, Владимир: 27.08
 Гольдберг, Анатолий Асирович: 27.08
 Бурков, Владимир Николаевич: 27.05
 Александрян, Рафаэль Арамович: 27.0
 Ермаков, Сергей Михайлович: 26.95
 Витушкин, Анатолий Георгиевич: 26.91
 Владимирович, Скороход Анатолий: 26.87
 Налимов, Василий Васильевич: 26.87
 Малков, Сергей Юрьевич: 26.87
 Берштейн, Леонид Самойлович: 26.87
 Хусайнов, Абдурахман: 26.78
 Вишик, Марко Иосифович: 26.73
 Аристов, Владимир Владимирович: 26.73
 Джрбашян, Мхитар: 26.73
 Макаров, Валерий Леонидович: 26.7
 Амбарцумян, Рубен Викторович: 26.7
 Медведев, Павел Алексеевич: 26.66
 Ишлинский, Александр Юльевич: 26.63
 Выгодский, Марк Яковлевич: 26.61
 Глейзер, Григорий Давыдович: 26.61
 Извольский, Николай Александрович: 26.61
 Новиков, Дмитрий Александрович: 26.61
 Соловьёв, Александр Дмитриевич: 26.61
 Бобков, Сергей Германович: 26.61
 Акилов, Глеб Павлович: 26.61
 Щепкин, Павел Степанович: 26.56
 Баранаускас, Антанас: 26.5
 Яковлев, Вадим Иванович: 26.5
 Минлос, Роберт Адольфович: 26.35
 Шишмарев, Юрий Евгеньевич: 26.24
 Галушкин, Александр Иванович: 26.24
 Свешников, Алексей Георгиевич: 26.23
 Шварцбурд, Семён Исаакович: 26.19
 Пархоменко, Алексей Серапионович: 26.19
 Дужин, Сергей Васильевич: 26.19
 Банахевич, Тадеуш: 26.14
 Лумельский, Ян Петрович: 26.08
 Геворкян, Павел Самвелович: 26.03
 Дубровин, Борис Анатольевич: 26.01
 Деларю, Даниил Михайлович: 25.97
 Боль, Пирс Георгиевич: 25.96
 Гвишиани, Алексей Джерменович: 25.89
 Сарымсаков, Ташмухамед Алиевич: 25.7
 Журавлёв, Юрий Иванович: 25.67
 Снядецкий, Ян: 25.66
 Норден, Александр Петрович: 25.56
 Перевощиков, Дмитрий Матвеевич: 25.42
 Петришин, Вальтер Володимир: 25.42
 Цирельсон, Борис Семенович: 25.37
 Бицадзе, Андрей Васильевич: 25.37
 Шубников, Алексей Васильевич: 25.33
 Котельников, Александр Петрович: 25.16
 Виро, Олег Янович: 25.05
 Боревич, Зенон Иванович: 25.05
 Агаханов, Назар Хангельдыевич: 25.05
