Немыцкий, Виктор Владимирович: 1.896
Крылов, Алексей Николаевич: 1.892
Зарицкий, Мирон Онуфриевич: 1.888
Ожигов, Юрий Игоревич: 1.88
Келдыш, Людмила Всеволодовна: 1.879
Виленкин, Наум Яковлевич: 1.877
Ашраф: 1.876
Гельфонд, Александр Осипович: 1.871
Максимов, Владимир Петрович: 1.87
Третьяков, Владимир Евгеньевич: 1.865
Лууре, Андрес: 1.863
Ермаков, Василий Петрович: 1.848
Филиппов, Алексей Фёдорович: 1.847
Семёнов, Алексей Львович: 1.838
Нестеренко, Юрий Валентинович: 1.836
Тарский, Альфред: 1.835
Юшкевич, Адольф Павлович: 1.835
Ратнер, Марина Евсеевна: 1.831
Френкель, Игорь: 1.828
Кары-Ниязов, Ташмухамед Ниязович: 1.828
Слудский, Фёдор Алексеевич: 1.828
Гагаев, Борис Михайлович: 1.828
Фусс, Николай Иванович: 1.822
Свирежев, Юрий Михайлович: 1.819
Сигал, Израиль Хаимович: 1.819
Шамолин, Максим Владимирович: 1.819
Сулицкий, Владимир Николаевич: 1.819
Сегал, Бенцион Израилевич: 1.819
Оселедец, Валерий Иустинович: 1.819
Ильин, Арлен Михайлович: 1.818
Яненко, Николай Николаевич: 1.818
Гончаров, Сергей Савостьянович: 1.818
Суслин, Андрей: 1.811
Павлов, Борис Сергеевич: 1.809
Бабич, Василий Михайлович: 1.808
Бартельс, Мартин Фёдорович: 1.804
Ремез, Евгений Яковлевич: 1.803
Хруслов, Евгений Яковлевич: 1.799
Немировский, Аркадий Семёнович: 1.798
Хорол, Давид Моисеевич: 1.798
Кашин, Борис: 1.793
Гайфуллин, Александр Александрович: 1.789
Успенский, Владимир Андреевич: 1.779
Рыбников, Константин Алексеевич: 1.775
Рохлин, Владимир: 1.774
Шилов, Георгий Евгеньевич: 1.774
Гончар, Андрей Александрович: 1.774
Кириллов, Александр Александрович: 1.765
Полянин, Андрей Дмитриевич: 1.765
Гантмахер, Феликс Рувимович: 1.764
Леонтьев, Алексей Фёдорович: 1.756
Кубилюс, Йонас: 1.755
Дорофеева, Алла Владимировна: 1.738
Кудрявцев, Лев Дмитриевич: 1.736
Данилов, Владимир Иванович: 1.736
Купрадзе, Виктор Дмитриевич: 1.735
Крылов, Николай Митрофанович: 1.728
Волковысский, Лев Израилевич: 1.727
Костицын, Владимир Александрович: 1.727
Абрамов, Александр Александрович: 1.727
Ефимов, Николай Владимирович: 1.726
Евграфов, Марат: 1.719
Абрамов, Сергей Михайлович: 1.713
Цфасман, Михаил Анатольевич: 1.708
Мойшезон, Борис Гершевич: 1.708
Воробьёв, Николай Николаевич: 1.708
Замятин, Алексей Петрович: 1.708
Орлов, Александр Иванович: 1.708
Ретах, Владимир Соломонович: 1.708
Юдин, Давид Борисович: 1.707
Лебедев, Николай Фролович: 1.698
Каргаполов, Михаил Иванович: 1.698
Зак, Николай Фёдорович: 1.69
Фон-дер-Флаасс, Дмитрий Германович: 1.689
Гихман, Иосиф Ильич: 1.688
Райгородский, Андрей Михайлович: 1.688
Шнирельман, Лев Генрихович: 1.681
Миркес, Евгений Моисеевич: 1.68
Суслонов, Владимир Михайлович: 1.68
Бугров, Яков Степанович: 1.679
Корнейчук, Николай Павлович: 1.678
Сеченов, Иван Михайлович: 1.674
Степин, Анатолий Михайлович: 1.674
Ганнушкина, Светлана Алексеевна: 1.672
Малыгина, Вера Владимировна: 1.67
Марков, Александр Александрович: 1.669
Щаранский, Натан: 1.666
Афанасьева, Татьяна Алексеевна: 1.648
Бураго, Юрий Дмитриевич: 1.642
Барбашин, Евгений Алексеевич: 1.628
Левин, Юрий Иосифович: 1.627
Миндинг, Фердинанд: 1.624
Левитан, Борис Моисеевич: 1.623
Бейлинсон, Александр Александрович: 1.622
Моисеев, Тихон Евгеньевич: 1.619
Рябов, Геннадий Георгиевич: 1.609
Похожаев, Станислав: 1.608
Демидович, Борис Павлович: 1.595
Малков, Сергей Юрьевич: 1.589
Яковлев, Вадим Иванович: 1.589
Берштейн, Леонид Самойлович: 1.589
Григорчук, Ростислав Иванович: 1.586
Лейбензон, Леонид Самуилович: 1.585
Лумельский, Ян Петрович: 1.58
Кутателадзе, Семён: 1.568
Цирельсон, Борис Семенович: 1.566
Давидов, Август Юльевич: 1.566
Зорич, Владимир Антонович: 1.566
Малинецкий, Георгий Геннадьевич: 1.566
Андронов, Александр Александрович: 1.561
Демидов, Сергей: 1.557
Степанов, Вячеслав: 1.556
Ворович, Иосиф: 1.556
Зелевинский, Андрей: 1.548
Фабрикант, Валерий Иосифович: 1.548
Фомин, Сергей Владимирович: 1.547
Федоренко, Радий Петрович: 1.547
Бобылёв, Николай Антонович: 1.547
Яглом, Акива Моисеевич: 1.54
Тюрин, Андрей Николаевич: 1.538
Кузнецов, Владимир: 1.538
Григорьев, Дмитрий Юрьевич: 1.537
Логунов, Александр Андреевич: 1.537
Флоренский, Павел Александрович: 1.53
Дезин, Алексей Алексеевич: 1.528
Дзядык, Владислав Кириллович: 1.528
Субботин, Андрей Измайлович: 1.528
Диткин, Виталий Арсеньевич: 1.528
Алескеров, Фуад Тагиевич: 1.528
Чумаков, Фёдор Иванович: 1.528
Слободянский, Михаил Григорьевич: 1.528
Слуцкий, Евгений Евгеньевич: 1.523
Ивашев-Мусатов, Олег Сергеевич: 1.519
Смолицкий, Хаим Львович: 1.519
Богатырёв, Андрей Борисович: 1.519
Савватеев, Алексей Владимирович: 1.519
Степанец, Александр Иванович: 1.518
Костомаров, Дмитрий Павлович: 1.518
Джумадильдаев, Аскар Серкулович: 1.517
Ибрагимов, Ильдар Абдуллович: 1.512
Меньшов, Дмитрий Евгеньевич: 1.512
Рипс, Илья Аронович: 1.512
Солтан, Валерий Петрович: 1.51
Шафаревич, Андрей Игоревич: 1.51
Будаев, Николай Сергеевич: 1.51
Браверман, Эммануил Маркович: 1.51
Нечаев, Василий Ильич: 1.509
Павловский, Юрий Николаевич: 1.509
Чушкин, Павел Иванович: 1.509
Абрашкин, Виктор Александрович: 1.509
Лаврик, Александр Фёдорович: 1.509
Халфин, Леонид Александрович: 1.508
Бочкарёв, Сергей Викторович: 1.508
Марков, Андрей Андреевич: 1.504
Романовский, Всеволод Иванович: 1.504
Бугаев, Николай Васильевич: 1.503
Коваленко, Игорь Николаевич: 1.499
Шеметков, Леонид Александрович: 1.499
Пасконов, Вилен Михайлович: 1.499
Михалевич, Владимир Сергеевич: 1.498
Боровков, Александр Алексеевич: 1.493
Котельников, Александр Петрович: 1.492
Банахевич, Тадеуш: 1.492
Добрушин, Роланд Львович: 1.484
Крейн, Селим Григорьевич: 1.475
Вентцель, Елена Сергеевна: 1.474
Суслин, Михаил Яковлевич: 1.474
Конягин, Сергей Владимирович: 1.474
Харлампович, Ольга Георгиевна: 1.473
Селиванов, Дмитрий Фёдорович: 1.465
Мельников, Иван Иванович: 1.465
Шрейдер, Юлий Анатольевич: 1.465
Тамаркин, Яков Давидович: 1.449
Урысон, Павел Самуилович: 1.449
Карапетян, Гарник: 1.448
Азбелев, Николай Викторович: 1.446
Монахов, Валентин Николаевич: 1.446
Когбетлянц, Ерванд Геворгович: 1.446
Уральцева, Нина: 1.445
Хачиян, Леонид Генрихович: 1.444
Никишин, Евгений Михайлович: 1.437
Фомин, Сергей Васильевич: 1.436
Яблонский, Сергей Всеволодович: 1.436
Бесов, Олег Владимирович: 1.435
Линдеберг, Ярл Вальдемар: 1.435
Шапиро, Зоря Яковлевна: 1.429
Болибрух, Андрей Андреевич: 1.427
Гокиели, Леван Петрович: 1.427
Ващенко-Захарченко, Михаил Егорович: 1.427
Петрик, Александр: 1.419
Пискунов, Николай Семёнович: 1.418
Эйхенбаум, Яков Моисеевич: 1.418
Айвазян, Сергей Арутюнович: 1.418
Иванов, Сергей Владимирович (математик): 1.417
Кошляков, Николай Сергеевич: 1.417
Решетняк, Юрий Григорьевич: 1.417
Сазонов, Вячеслав Васильевич: 1.416
Ландис, Евгений Михайлович: 1.41
Михайлов, Роман Валерьевич: 1.41
Базылев, Вячеслав Тимофеевич: 1.409
Варченко, Александр Николаевич: 1.408
Авдеев, Николай Яковлевич: 1.408
Афанасьев, Владимир: 1.408
Султангазин, Умирзак Махмутович: 1.408
Гольдберг, Анатолий Асирович: 1.408
Мазалов, Владимир Викторович: 1.408
Панин, Иван Александрович: 1.408
Песин, Яков Борисович: 1.408
Тураев, Владимир Георгиевич: 1.407
Богданов, Рифкат Ибрагимович: 1.407
Линделёф, Эрнст Леонард: 1.4
Q61043859: 1.4
Платонов, Михаил Леонидович: 1.4
Светов, Борис Сергеевич: 1.399
Краснопрошин, Виктор Владимирович: 1.399
Медведев, Павел Алексеевич: 1.398
