Франке, Ян: 0.0
Суворов, Прохор Игнатьевич: 0.31
Плоткин, Евгений Борисович: 0.31
Гольденберг, Александр Иванович: 0.31
Лерер, Леонид Ефимович: 0.31
Турецкий, Абрам Хаимович: 0.31
Ковнер, Семён Самсонович: 0.31
Мула, Фредерик: 0.31
Q19772418: 0.31
Шмульян, Юрий Львович: 0.31
Шахно, Константин Устинович: 0.31
Шифф, Пётр Александрович: 0.31
Лопшиц, Абрам Миронович: 0.31
Александров, Иван Иванович: 0.31
Михельсон, Николай Семёнович: 0.31
Gordeziani, David: 0.31
Беренс, Виктор Иванович: 0.31
Выжевский, Степан Степанович: 0.31
Садыбеков, Махмуд Абдысаметович: 0.31
Альсевич, Виталий Викентьевич: 0.31
Сейткулов, Ержан Нураханович: 0.31
Овчинников, Алексей Витальевич: 0.31
Бондарко, Михаил Владимирович: 0.31
Чобанян, Сергей: 0.31
Мурадян, Максим: 0.31
Liptser, Robert: 0.31
Harutyunyan, Mariam: 0.31
Денисюк, Владимир: 0.31
Бочаров, Геннадий Алексеевич: 0.31
Хисамиев, Назиф Гарифуллинович: 0.31
Молотков, Сергей Николаевич: 0.31
Сушкевич, Антон Казимирович: 0.318
Кричевер, Игорь Моисеевич: 0.319
Гагарин, Андрей Григорьевич: 0.319
Гимади, Эдуард Хайрутдинович: 0.319
Горбатов, Вячеслав Афанасьевич: 0.319
Ильинский, Алексей Никанорович: 0.319
Колотов, Степан Митрофанович: 0.319
Коренев, Георгий Васильевич: 0.319
Лигун, Анатолий Александрович: 0.319
Перелогов, Тимофей Иванович: 0.319
Преображенский, Владимир Васильевич: 0.319
Романов, Николай Павлович: 0.319
Ромер, Павел Эмилиевич: 0.319
Фельдман, Израиль Аронович: 0.319
Кириллов, Александр мл: 0.319
Умирбаев, Уалбай Утмаханбетович: 0.319
Пан, Виктор Яковлевич: 0.319
Молчанов, Александр Артёмович: 0.319
Мазаник, Сергей Алексеевич: 0.319
Венков, Борис Борисович: 0.319
Вулих, Захар Борисович: 0.319
Жбиковский, Антон Ксаверьевич: 0.319
Парфентьев, Николай Николаевич: 0.319
Бондал, Алексей Игоревич: 0.319
Бейер, Евгений Ильич фон: 0.319
Зенфф, Карл-Эдуард: 0.319
Левин, Виталий Ильич: 0.319
